95	0.016	1	0	task-0:0.262	|	0.294744	0.218914	0.213336	0.211125	0.210122	0.208454	0.207841	0.207368	0.206975	0.206459	0.205617	0.204825	0.205487	0.203936	0.203693	0.203202	0.202526	0.201169	0.198743	0.195356	0.265591	0.195289	0.195699	0.195223	0.195202	0.195163	0.195104	0.194982	0.194868	0.19513	0.194769	0.194755	0.194727	0.19466	0.169904	0.162817	0.149778	0.13309	0.116132	0.0889072	0.0675221	0.0674219	0.0545906	0.0501126	0.042258	0.0383086	0.03438	0.0292737	0.0204987	

95	0	1	0	task-0:0.262	|	0.294744	0.218914	0.213336	0.211125	0.210122	0.208454	0.207841	0.207368	0.206975	0.206459	0.205617	0.204825	0.205487	0.203936	0.203693	0.203202	0.202526	0.201169	0.198743	0.195356	0.265591	0.195289	0.195699	0.195223	0.195202	0.195163	0.195104	0.194982	0.194868	0.19513	0.194769	0.194755	0.194727	0.19466	0.169904	0.162817	0.149778	0.13309	0.116132	0.0889072	0.0675221	0.0674219	0.0545906	0.0501126	0.042258	0.0383086	0.03438	0.0292737	0.0204987	

95	0.016	1	0	task-0:0.262	|	0.294744	0.218914	0.213336	0.211125	0.210122	0.208454	0.207841	0.207368	0.206975	0.206459	0.205617	0.204825	0.205487	0.203936	0.203693	0.203202	0.202526	0.201169	0.198743	0.195356	0.265591	0.195289	0.195699	0.195223	0.195202	0.195163	0.195104	0.194982	0.194868	0.19513	0.194769	0.194755	0.194727	0.19466	0.169904	0.162817	0.149778	0.13309	0.116132	0.0889072	0.0675221	0.0674219	0.0545906	0.0501126	0.042258	0.0383086	0.03438	0.0292737	0.0204987	

95	0	1	0	task-0:0.262	|	0.294744	0.218914	0.213336	0.211125	0.210122	0.208454	0.207841	0.207368	0.206975	0.206459	0.205617	0.204825	0.205487	0.203936	0.203693	0.203202	0.202526	0.201169	0.198743	0.195356	0.265591	0.195289	0.195699	0.195223	0.195202	0.195163	0.195104	0.194982	0.194868	0.19513	0.194769	0.194755	0.194727	0.19466	0.169904	0.162817	0.149778	0.13309	0.116132	0.0889072	0.0675221	0.0674219	0.0545906	0.0501126	0.042258	0.0383086	0.03438	0.0292737	0.0204987	

95	0	1	0	task-0:0.262	|	0.294744	0.218914	0.213336	0.211125	0.210122	0.208454	0.207841	0.207368	0.206975	0.206459	0.205617	0.204825	0.205487	0.203936	0.203693	0.203202	0.202526	0.201169	0.198743	0.195356	0.265591	0.195289	0.195699	0.195223	0.195202	0.195163	0.195104	0.194982	0.194868	0.19513	0.194769	0.194755	0.194727	0.19466	0.169904	0.162817	0.149778	0.13309	0.116132	0.0889072	0.0675221	0.0674219	0.0545906	0.0501126	0.042258	0.0383086	0.03438	0.0292737	0.0204987	

95	0.016	1	0	task-0:0.262	|	0.294744	0.218914	0.213336	0.211125	0.210122	0.208454	0.207841	0.207368	0.206975	0.206459	0.205617	0.204825	0.205487	0.203936	0.203693	0.203202	0.202526	0.201169	0.198743	0.195356	0.265591	0.195289	0.195699	0.195223	0.195202	0.195163	0.195104	0.194982	0.194868	0.19513	0.194769	0.194755	0.194727	0.19466	0.169904	0.162817	0.149778	0.13309	0.116132	0.0889072	0.0675221	0.0674219	0.0545906	0.0501126	0.042258	0.0383086	0.03438	0.0292737	0.0204987	

95	0	1	0	task-0:0.262	|	0.294744	0.218914	0.213336	0.211125	0.210122	0.208454	0.207841	0.207368	0.206975	0.206459	0.205617	0.204825	0.205487	0.203936	0.203693	0.203202	0.202526	0.201169	0.198743	0.195356	0.265591	0.195289	0.195699	0.195223	0.195202	0.195163	0.195104	0.194982	0.194868	0.19513	0.194769	0.194755	0.194727	0.19466	0.169904	0.162817	0.149778	0.13309	0.116132	0.0889072	0.0675221	0.0674219	0.0545906	0.0501126	0.042258	0.0383086	0.03438	0.0292737	0.0204987	

95	0.016	1	0	task-0:0.262	|	0.294744	0.218914	0.213336	0.211125	0.210122	0.208454	0.207841	0.207368	0.206975	0.206459	0.205617	0.204825	0.205487	0.203936	0.203693	0.203202	0.202526	0.201169	0.198743	0.195356	0.265591	0.195289	0.195699	0.195223	0.195202	0.195163	0.195104	0.194982	0.194868	0.19513	0.194769	0.194755	0.194727	0.19466	0.169904	0.162817	0.149778	0.13309	0.116132	0.0889072	0.0675221	0.0674219	0.0545906	0.0501126	0.042258	0.0383086	0.03438	0.0292737	0.0204987	

