73	0	1	task-0:0.256	|	0.252711	0.228593	0.227081	0.223873	0.219423	0.216237	0.213131	0.21302	0.216005	0.210199	0.209943	0.209023	0.207113	0.206226	0.211168	0.204927	0.204821	0.20448	0.203885	0.203549	0.203308	0.203014	0.202822	0.202391	0.201819	0.20211	0.201535	0.20136	0.173442	0.162625	0.152008	0.141088	0.134994	0.121649	0.101094	0.0839311	0.0736115	0.068357	0.0652288	0.0604574	0.0520313	0.0441784	0.0555886	0.040045	0.0392991	0.0379365	0.0367441	0.0361515	0.0349115	0.0336418	
79	0	1	task-0:0.27	|	0.266489	0.227821	0.226701	0.225004	0.223075	0.221252	0.220111	0.2187	0.217431	0.215714	0.212537	0.212096	0.232939	0.207372	0.206995	0.206476	0.205925	0.205523	0.20538	0.204899	0.204278	0.202987	0.200687	0.201593	0.249843	0.198229	0.198069	0.197762	0.197608	0.197569	0.197458	0.197425	0.197363	0.197295	0.197182	0.197072	0.196999	0.196991	0.173138	0.169666	0.161941	0.15155	0.134506	0.111039	0.0887091	0.131915	0.0736532	0.0694148	0.0618257	0.0588168	0.054612	0.0517606	0.050659	0.0484747	0.0457352	0.0432958	0.0429526	0.0413504	0.039808	

79	0.015	1	task-0:0.27	|	0.266489	0.227821	0.226701	0.225004	0.223075	0.221252	0.220111	0.2187	0.217431	0.215714	0.212537	0.212096	0.232939	0.207372	0.206995	0.206476	0.205925	0.205523	0.20538	0.204899	0.204278	0.202987	0.200687	0.201593	0.249843	0.198229	0.198069	0.197762	0.197608	0.197569	0.197458	0.197425	0.197363	0.197295	0.197182	0.197072	0.196999	0.196991	0.173138	0.169666	0.161941	0.15155	0.134506	0.111039	0.0887091	0.131915	0.0736532	0.0694148	0.0618257	0.0588168	0.054612	0.0517606	0.050659	0.0484747	0.0457352	0.0432958	0.0429526	0.0413504	0.039808	

79	0	1	task-0:0.27	|	0.266489	0.227821	0.226701	0.225004	0.223075	0.221252	0.220111	0.2187	0.217431	0.215714	0.212537	0.212096	0.232939	0.207372	0.206995	0.206476	0.205925	0.205523	0.20538	0.204899	0.204278	0.202987	0.200687	0.201593	0.249843	0.198229	0.198069	0.197762	0.197608	0.197569	0.197458	0.197425	0.197363	0.197295	0.197182	0.197072	0.196999	0.196991	0.173138	0.169666	0.161941	0.15155	0.134506	0.111039	0.0887091	0.131915	0.0736532	0.0694148	0.0618257	0.0588168	0.054612	0.0517606	0.050659	0.0484747	0.0457352	0.0432958	0.0429526	0.0413504	0.039808	

79	0.016	1	task-0:0.27	|	0.266489	0.227821	0.226701	0.225004	0.223075	0.221252	0.220111	0.2187	0.217431	0.215714	0.212537	0.212096	0.232939	0.207372	0.206995	0.206476	0.205925	0.205523	0.20538	0.204899	0.204278	0.202987	0.200687	0.201593	0.249843	0.198229	0.198069	0.197762	0.197608	0.197569	0.197458	0.197425	0.197363	0.197295	0.197182	0.197072	0.196999	0.196991	0.173138	0.169666	0.161941	0.15155	0.134506	0.111039	0.0887091	0.131915	0.0736532	0.0694148	0.0618257	0.0588168	0.054612	0.0517606	0.050659	0.0484747	0.0457352	0.0432958	0.0429526	0.0413504	0.039808	

79	0	1	task-0:0.27	|	0.266489	0.227821	0.226701	0.225004	0.223075	0.221252	0.220111	0.2187	0.217431	0.215714	0.212537	0.212096	0.232939	0.207372	0.206995	0.206476	0.205925	0.205523	0.20538	0.204899	0.204278	0.202987	0.200687	0.201593	0.249843	0.198229	0.198069	0.197762	0.197608	0.197569	0.197458	0.197425	0.197363	0.197295	0.197182	0.197072	0.196999	0.196991	0.173138	0.169666	0.161941	0.15155	0.134506	0.111039	0.0887091	0.131915	0.0736532	0.0694148	0.0618257	0.0588168	0.054612	0.0517606	0.050659	0.0484747	0.0457352	0.0432958	0.0429526	0.0413504	0.039808	

79	0.015	1	task-0:0.27	|	0.266489	0.227821	0.226701	0.225004	0.223075	0.221252	0.220111	0.2187	0.217431	0.215714	0.212537	0.212096	0.232939	0.207372	0.206995	0.206476	0.205925	0.205523	0.20538	0.204899	0.204278	0.202987	0.200687	0.201593	0.249843	0.198229	0.198069	0.197762	0.197608	0.197569	0.197458	0.197425	0.197363	0.197295	0.197182	0.197072	0.196999	0.196991	0.173138	0.169666	0.161941	0.15155	0.134506	0.111039	0.0887091	0.131915	0.0736532	0.0694148	0.0618257	0.0588168	0.054612	0.0517606	0.050659	0.0484747	0.0457352	0.0432958	0.0429526	0.0413504	0.039808	

79	0	1	task-0:0.27	|	0.266489	0.227821	0.226701	0.225004	0.223075	0.221252	0.220111	0.2187	0.217431	0.215714	0.212537	0.212096	0.232939	0.207372	0.206995	0.206476	0.205925	0.205523	0.20538	0.204899	0.204278	0.202987	0.200687	0.201593	0.249843	0.198229	0.198069	0.197762	0.197608	0.197569	0.197458	0.197425	0.197363	0.197295	0.197182	0.197072	0.196999	0.196991	0.173138	0.169666	0.161941	0.15155	0.134506	0.111039	0.0887091	0.131915	0.0736532	0.0694148	0.0618257	0.0588168	0.054612	0.0517606	0.050659	0.0484747	0.0457352	0.0432958	0.0429526	0.0413504	0.039808	

88	0.016	1	task-0:0.266	|	0.266489	0.227821	0.226701	0.225004	0.223075	0.221252	0.220111	0.2187	0.217431	0.215714	0.212537	0.212096	0.232939	0.207372	0.206995	0.206476	0.205925	0.205523	0.20538	0.204899	0.204278	0.202987	0.200687	0.201593	0.249843	0.198229	0.198069	0.197762	0.197608	0.197569	0.197458	0.197425	0.197363	0.197295	0.197182	0.197072	0.196999	0.196991	0.168944	0.161691	0.149476	0.141679	0.130499	0.114637	0.0872654	0.0582749	0.2931	0.0526268	0.0512999	0.0500765	0.0486391	0.047259	0.0453366	0.0420546	0.0384947	0.035356	0.037158	0.032295	

92	0	1	task-0:0.264	|	0.252331	0.231582	0.230294	0.227564	0.223367	0.220122	0.21604	0.215272	0.219228	0.212403	0.210117	0.209694	0.208716	0.207457	0.207761	0.206938	0.20659	0.206194	0.205733	0.205403	0.205039	0.20465	0.204634	0.204339	0.204076	0.20376	0.203732	0.203462	0.203221	0.202949	0.202886	0.173809	0.163149	0.151888	0.140826	0.134911	0.121853	0.101437	0.0781474	0.0783388	0.0665427	0.0635794	0.0597958	0.0581597	0.056473	0.0531271	0.0492511	0.0451276	0.0409094	0.0388339	0.0368878	0.0346438	0.0323562	0.0301533	

86	0.016	1	task-0:0.266	|	0.266489	0.227821	0.226701	0.225004	0.223075	0.221252	0.220111	0.2187	0.217431	0.215714	0.212537	0.212096	0.232939	0.207372	0.206995	0.206476	0.205925	0.205523	0.20538	0.204899	0.204278	0.202987	0.200687	0.201593	0.249843	0.198229	0.198069	0.197762	0.197608	0.197569	0.197458	0.197425	0.197363	0.197295	0.197182	0.197072	0.196999	0.196991	0.173303	0.169855	0.162167	0.151777	0.134803	0.111426	0.0896029	0.131387	0.0743833	0.0702949	0.0628849	0.0600741	0.0565758	0.0537944	0.0522265	0.0494733	0.0451393	0.0430903	0.042199	0.0412668	

79	0	1	task-0:0.27	|	0.266489	0.227821	0.226701	0.225004	0.223075	0.221252	0.220111	0.2187	0.217431	0.215714	0.212537	0.212096	0.232939	0.207372	0.206995	0.206476	0.205925	0.205523	0.20538	0.204899	0.204278	0.202987	0.200687	0.201593	0.249843	0.198229	0.198069	0.197762	0.197608	0.197569	0.197458	0.197425	0.197363	0.197295	0.197182	0.197072	0.196999	0.196991	0.173138	0.169666	0.161941	0.15155	0.134506	0.111039	0.0887091	0.131915	0.0736532	0.0694148	0.0618257	0.0588168	0.054612	0.0517606	0.050659	0.0484747	0.0457352	0.0432958	0.0429526	0.0413504	0.039808	

79	0.015	1	task-0:0.27	|	0.266489	0.227821	0.226701	0.225004	0.223075	0.221252	0.220111	0.2187	0.217431	0.215714	0.212537	0.212096	0.232939	0.207372	0.206995	0.206476	0.205925	0.205523	0.20538	0.204899	0.204278	0.202987	0.200687	0.201593	0.249843	0.198229	0.198069	0.197762	0.197608	0.197569	0.197458	0.197425	0.197363	0.197295	0.197182	0.197072	0.196999	0.196991	0.173138	0.169666	0.161941	0.15155	0.134506	0.111039	0.0887091	0.131915	0.0736532	0.0694148	0.0618257	0.0588168	0.054612	0.0517606	0.050659	0.0484747	0.0457352	0.0432958	0.0429526	0.0413504	0.039808	

86	0	1	task-0:0.266	|	0.266489	0.227821	0.226701	0.225004	0.223075	0.221252	0.220111	0.2187	0.217431	0.215714	0.212537	0.212096	0.232939	0.207372	0.206995	0.206476	0.205925	0.205523	0.20538	0.204899	0.204278	0.202987	0.200687	0.201593	0.249843	0.198229	0.198069	0.197762	0.197608	0.197569	0.197458	0.197425	0.197363	0.197295	0.197182	0.197072	0.196999	0.196991	0.173303	0.169855	0.162167	0.151777	0.134803	0.111426	0.0896029	0.131387	0.0743833	0.0702949	0.0628849	0.0600741	0.0565758	0.0537944	0.0522265	0.0494733	0.0451393	0.0430903	0.042199	0.0412668	

79	0.016	1	task-0:0.27	|	0.266489	0.227821	0.226701	0.225004	0.223075	0.221252	0.220111	0.2187	0.217431	0.215714	0.212537	0.212096	0.232939	0.207372	0.206995	0.206476	0.205925	0.205523	0.20538	0.204899	0.204278	0.202987	0.200687	0.201593	0.249843	0.198229	0.198069	0.197762	0.197608	0.197569	0.197458	0.197425	0.197363	0.197295	0.197182	0.197072	0.196999	0.196991	0.173138	0.169666	0.161941	0.15155	0.134506	0.111039	0.0887091	0.131915	0.0736532	0.0694148	0.0618257	0.0588168	0.054612	0.0517606	0.050659	0.0484747	0.0457352	0.0432958	0.0429526	0.0413504	0.039808	

79	0	1	task-0:0.27	|	0.266489	0.227821	0.226701	0.225004	0.223075	0.221252	0.220111	0.2187	0.217431	0.215714	0.212537	0.212096	0.232939	0.207372	0.206995	0.206476	0.205925	0.205523	0.20538	0.204899	0.204278	0.202987	0.200687	0.201593	0.249843	0.198229	0.198069	0.197762	0.197608	0.197569	0.197458	0.197425	0.197363	0.197295	0.197182	0.197072	0.196999	0.196991	0.173138	0.169666	0.161941	0.15155	0.134506	0.111039	0.0887091	0.131915	0.0736532	0.0694148	0.0618257	0.0588168	0.054612	0.0517606	0.050659	0.0484747	0.0457352	0.0432958	0.0429526	0.0413504	0.039808	

79	0.016	1	task-0:0.27	|	0.266489	0.227821	0.226701	0.225004	0.223075	0.221252	0.220111	0.2187	0.217431	0.215714	0.212537	0.212096	0.232939	0.207372	0.206995	0.206476	0.205925	0.205523	0.20538	0.204899	0.204278	0.202987	0.200687	0.201593	0.249843	0.198229	0.198069	0.197762	0.197608	0.197569	0.197458	0.197425	0.197363	0.197295	0.197182	0.197072	0.196999	0.196991	0.173138	0.169666	0.161941	0.15155	0.134506	0.111039	0.0887091	0.131915	0.0736532	0.0694148	0.0618257	0.0588168	0.054612	0.0517606	0.050659	0.0484747	0.0457352	0.0432958	0.0429526	0.0413504	0.039808	

