156	0.063	4	task-0:0.14	|	0.234524	0.318595	0.315701	0.262701	0.231361	0.231359	0.225158	0.225158	0.22126	0.220819	0.219328	0.218162	0.216121	0.224553	0.218883	0.20955	0.206935	0.20285	0.200926	0.196402	0.191778	0.18787	0.183412	0.179082	0.174738	0.170161	0.165924	0.162022	0.157944	0.154168	0.150967	0.147019	0.143506	0.13986	0.136524	0.132921	0.130046	0.127015	0.123853	0.11775	0.107956	0.0982999	0.0920788	0.0872047	0.0837219	0.0791168	0.0744475	0.0690575	0.0622292	0.0553306	0.0492894	0.0438243	0.0388293	0.0329967	0.0272852	0.0215379	0.0162613	0.0115124	0.00749758	0.00440733	0.00232416	0.00109733	0.000482336	0.000218464	0.000107159	5.28022e-005	2.53845e-005	1.66151e-005	8.1545e-006	5.11266e-006	3.59725e-006	2.63838e-006	1.92692e-006	1.70401e-006	1.44801e-006	1.20237e-006	9.90487e-007	8.18449e-007	6.86695e-007	5.28137e-007	3.96603e-007	2.84421e-007	1.94004e-007	1.24634e-007	7.54196e-008	4.30799e-008	2.317e-008	1.16501e-008	5.44882e-009	2.26011e-009	8.05676e-010	2.3854e-010	5.60596e-011	9.93073e-012	1.24827e-012	1.03751e-013	5.24376e-015	1.45777e-016	1.97603e-018	1.12986e-020	2.28835e-023	1.11111e-005	3.33333e-005	0.188538	0.188538	3.33353e-005	3.33353e-005	0.00020927	0.000214208	3.39781e-005	3.40149e-005	4.61705e-005	0.000225165	0.000204541	7.98193e-005	4.4487e-005	5.60766e-005	0.000516646	0.000260408	4.31889e-005	3.68353e-005	3.59159e-005	3.53063e-005	3.5557e-005	3.73933e-005	4.16683e-005	3.38914e-005	3.78005e-005	3.54647e-005	3.50311e-005	3.4725e-005	3.41556e-005	4.53175e-005	4.76479e-005	4.50796e-005	4.34492e-005	3.98149e-005	3.82575e-005	3.66751e-005	3.56845e-005	4.28444e-005	5.35075e-005	6.81301e-005	3.33345e-005	3.3428e-005	0.00294147	0.00294147	5.60245e-005	3.43702e-005	3.34685e-005	3.41898e-005	7.90288e-005	7.90288e-005	3.91391e-005	3.52765e-005	3.45126e-005	

66	0.032	4	task-0:0.3	|	0.227031	0.323762	0.315509	0.222639	0.238802	0.237138	0.204035	0.210039	0.211033	0.191429	0.173499	0.151516	0.136815	0.117648	0.131896	0.12118	0.101219	0.094767	0.0851381	0.076431	0.0676573	0.0575739	0.0497774	0.0420867	0.0342878	0.0270138	0.0202853	0.0143891	0.00977141	0.00652126	0.00444686	0.00308379	0.00296853	0.00210837	0.00159166	0.00122544	0.000774437	0.00050869	0.000323776	0.000191107	0.000103955	5.11064e-005	2.23377e-005	8.52595e-006	2.79622e-006	8.14867e-007	2.34804e-007	4.71767e-008	5.83805e-009	5.25118e-010	3.0354e-011	9.2322e-013	1.45887e-014	9.94059e-017	2.61056e-019	2.07713e-022	4.47143e-026	1.11111e-005	3.33333e-005	3.33333e-005	0.205055	0.205055	6.04759e-005	3.33418e-005	3.45291e-005	0.000857842	

60	0.031	4	task-0:0.47	|	0.258945	0.321444	0.3206	0.258496	0.274509	0.274507	0.222935	0.265938	0.264303	0.232575	0.223376	0.223084	0.218191	0.215986	0.212841	0.208447	0.202295	0.195277	0.187869	0.180918	0.175527	0.171505	0.16776	0.164394	0.161201	0.157857	0.151139	0.143785	0.124235	0.107026	0.0981772	0.0910594	0.0853369	0.0814936	0.0768686	0.0717984	0.0663476	0.0605877	0.0546013	0.0484574	0.0422197	0.0363384	0.0300494	0.0238333	0.0179672	0.0126959	0.00826232	0.00481054	0.00252329	0.00117054	0.000506849	0.000250931	0.000223014	0.000143134	0.000112826	8.54187e-005	6.7623e-005	5.15524e-005	4.11913e-005	3.50311e-005	

97	0.047	4	task-0:0.162	|	0.266794	0.309337	0.306102	0.24523	0.24183	0.240344	0.22258	0.233869	0.232872	0.22243	0.220016	0.214268	0.204869	0.200939	0.274454	0.25352	0.199405	0.192376	0.181483	0.179563	0.178351	0.175067	0.172145	0.168445	0.164861	0.161195	0.157207	0.152993	0.148632	0.144409	0.140638	0.138499	0.136576	0.134306	0.131419	0.127845	0.123118	0.115085	0.100773	0.0861637	0.076749	0.066992	0.0567337	0.0466398	0.0373386	0.0296388	0.022078	0.0143225	0.00868534	0.00465426	0.00191991	0.000691301	0.00019777	4.96091e-005	1.25294e-005	9.91602e-006	2.02778e-006	1.06561e-006	3.36464e-007	1.23675e-007	8.75403e-008	4.76221e-008	2.64335e-008	1.40838e-008	6.72991e-009	2.82969e-009	1.04681e-009	3.31072e-010	8.60865e-011	1.80414e-011	2.80404e-012	3.04017e-013	2.15339e-014	9.32454e-016	2.22218e-017	7.27107e-017	5.9129e-019	1.96589e-016	1.96589e-016	8.02979e-019	8.8139e-019	7.98015e-019	4.10382e-019	3.93391e-019	2.7939e-019	1.92336e-019	1.24019e-019	7.07119e-020	3.61201e-020	1.62209e-020	6.26816e-021	2.04764e-021	5.64488e-022	1.40045e-022	3.74352e-023	2.80925e-023	3.39397e-024	

60	0.031	4	task-0:0.47	|	0.258945	0.321444	0.3206	0.258496	0.274509	0.274507	0.222935	0.265938	0.264303	0.232575	0.223376	0.223084	0.218191	0.215986	0.212841	0.208447	0.202295	0.195277	0.187869	0.180918	0.175527	0.171505	0.16776	0.164394	0.161201	0.157857	0.151139	0.143785	0.124235	0.107026	0.0981772	0.0910594	0.0853369	0.0814936	0.0768686	0.0717984	0.0663476	0.0605877	0.0546013	0.0484574	0.0422197	0.0363384	0.0300494	0.0238333	0.0179672	0.0126959	0.00826232	0.00481054	0.00252329	0.00117054	0.000506849	0.000250931	0.000223014	0.000143134	0.000112826	8.54187e-005	6.7623e-005	5.15524e-005	4.11913e-005	3.50311e-005	

60	0.031	4	task-0:0.47	|	0.258945	0.321444	0.3206	0.258496	0.274509	0.274507	0.222935	0.265938	0.264303	0.232575	0.223376	0.223084	0.218191	0.215986	0.212841	0.208447	0.202295	0.195277	0.187869	0.180918	0.175527	0.171505	0.16776	0.164394	0.161201	0.157857	0.151139	0.143785	0.124235	0.107026	0.0981772	0.0910594	0.0853369	0.0814936	0.0768686	0.0717984	0.0663476	0.0605877	0.0546013	0.0484574	0.0422197	0.0363384	0.0300494	0.0238333	0.0179672	0.0126959	0.00826232	0.00481054	0.00252329	0.00117054	0.000506849	0.000250931	0.000223014	0.000143134	0.000112826	8.54187e-005	6.7623e-005	5.15524e-005	4.11913e-005	3.50311e-005	

