100	0.047	1	0	task-3:0.46	task-0:0.15	task-1:0.11	task-2:0.464	|	0.0622239	0.0601961	0.0567459	0.056228	0.0558726	0.055219	0.0549186	0.0546458	0.0544536	0.054351	0.0542349	0.0540357	0.0537629	0.0533247	0.0534975	0.0610042	0.0529332	0.0529239	0.0529151	0.0529034	0.0528936	0.0528745	0.0528524	0.0528427	0.0529361	0.0528414	0.0528408	0.0528392	0.0528358	0.0520823	0.050964	0.047904	0.0422414	0.0351812	0.0320718	0.0310492	0.0292772	0.0260664	0.0215738	0.0183638	0.0290293	0.0158967	0.0146977	0.0139254	0.0136324	0.0130873	0.0122381	0.0106839	0.00809708	0.00503057	0.0150284	0.00678525	0.00536675	0.00456676	0.00382094	0.00417726	0.00350631	0.00336395	0.00318413	0.00287657	0.0023982	

100	0.046	1	0	task-3:0.46	task-0:0.15	task-1:0.11	task-2:0.464	|	0.0622239	0.0601961	0.0567459	0.056228	0.0558726	0.055219	0.0549186	0.0546458	0.0544536	0.054351	0.0542349	0.0540357	0.0537629	0.0533247	0.0534975	0.0610042	0.0529332	0.0529239	0.0529151	0.0529034	0.0528936	0.0528745	0.0528524	0.0528427	0.0529361	0.0528414	0.0528408	0.0528392	0.0528358	0.0520823	0.050964	0.047904	0.0422414	0.0351812	0.0320718	0.0310492	0.0292772	0.0260664	0.0215738	0.0183638	0.0290293	0.0158967	0.0146977	0.0139254	0.0136324	0.0130873	0.0122381	0.0106839	0.00809708	0.00503057	0.0150284	0.00678525	0.00536675	0.00456676	0.00382094	0.00417726	0.00350631	0.00336395	0.00318413	0.00287657	0.0023982	

102	0.047	1	0	task-3:0.452	task-0:0.178	task-1:0.076	task-2:0.464	|	0.0560471	0.0552302	0.054395	0.0543259	0.0541621	0.0538405	0.0533404	0.0535825	0.0584616	0.0529543	0.0529476	0.052937	0.0529169	0.0528861	0.0528934	0.0529421	0.0528596	0.0528583	0.0528554	0.0528517	0.0528482	0.0528444	0.051971	0.0506968	0.0472728	0.0411784	0.0342277	0.0308241	0.0295906	0.0282754	0.0255347	0.0204991	0.0141563	0.0219241	0.0127471	0.0112766	0.0108129	0.0104749	0.00991235	0.0091176	0.00790943	0.00611659	0.00417532	0.00743945	0.00384102	0.00371833	0.00362685	0.0034922	0.0032442	0.00295981	0.00274527	0.00248182	

100	0.031	1	0	task-3:0.46	task-0:0.15	task-1:0.11	task-2:0.464	|	0.0622239	0.0601961	0.0567459	0.056228	0.0558726	0.055219	0.0549186	0.0546458	0.0544536	0.054351	0.0542349	0.0540357	0.0537629	0.0533247	0.0534975	0.0610042	0.0529332	0.0529239	0.0529151	0.0529034	0.0528936	0.0528745	0.0528524	0.0528427	0.0529361	0.0528414	0.0528408	0.0528392	0.0528358	0.0520823	0.050964	0.047904	0.0422414	0.0351812	0.0320718	0.0310492	0.0292772	0.0260664	0.0215738	0.0183638	0.0290293	0.0158967	0.0146977	0.0139254	0.0136324	0.0130873	0.0122381	0.0106839	0.00809708	0.00503057	0.0150284	0.00678525	0.00536675	0.00456676	0.00382094	0.00417726	0.00350631	0.00336395	0.00318413	0.00287657	0.0023982	

100	0.047	1	0	task-3:0.46	task-0:0.15	task-1:0.11	task-2:0.464	|	0.0622239	0.0601961	0.0567459	0.056228	0.0558726	0.055219	0.0549186	0.0546458	0.0544536	0.054351	0.0542349	0.0540357	0.0537629	0.0533247	0.0534975	0.0610042	0.0529332	0.0529239	0.0529151	0.0529034	0.0528936	0.0528745	0.0528524	0.0528427	0.0529361	0.0528414	0.0528408	0.0528392	0.0528358	0.0520823	0.050964	0.047904	0.0422414	0.0351812	0.0320718	0.0310492	0.0292772	0.0260664	0.0215738	0.0183638	0.0290293	0.0158967	0.0146977	0.0139254	0.0136324	0.0130873	0.0122381	0.0106839	0.00809708	0.00503057	0.0150284	0.00678525	0.00536675	0.00456676	0.00382094	0.00417726	0.00350631	0.00336395	0.00318413	0.00287657	0.0023982	

